N	Wave	B0	B1	S	Sair
32	410.54660527538	0.0197205258564349	0.0235650459746505	0.155486162749775	0.212127158764996
33	413.88359448896	0.0197575363474452	0.0235737431668985	0.162911762581759	0.22257534767162
34	417.2209622275	0.0197373234126241	0.0237017327468565	0.172270774534557	0.235122562979822
35	420.55869662144	0.0197511327087966	0.0235115900911241	0.182603771024861	0.249203549912492
36	423.89678580122	0.0197339614238192	0.0232502054507043	0.193190304052252	0.263684398765099
37	427.23521789728	0.0197706491331963	0.0236202630121136	0.204664859301175	0.279419110893499
38	430.57398104006	0.0197235347046856	0.0237179926542552	0.216984390142869	0.295599155036081
39	433.91306336	0.019761060424973	0.0236198791507292	0.228999700319037	0.312002287037856
40	437.25245298754	0.0197362943498823	0.0235069605377931	0.240111087237537	0.327032836461616
41	440.59213805312	0.019762224532571	0.0234849359017188	0.249288343504205	0.339296665577764
42	443.93210668718	0.0197506740099244	0.0236273201963097	0.255681028823495	0.348074013528886
43	447.27234702016	0.0197753676772433	0.0238288179221611	0.259483970527296	0.352888392268107
44	450.6128471825	0.0197257516038374	0.0236086750765617	0.260461753344408	0.354258902065265
45	453.95359530464	0.0197659391385006	0.0231826168697973	0.259591421760699	0.35268648434377
46	457.29457951702	0.0197440674550383	0.0233861108843216	0.256486687073933	0.348331916722897
47	460.63578795008	0.0197800546410332	0.0235110269547776	0.251889033757872	0.342079007095151
48	463.97720873426	0.0197331813391263	0.0236127819918823	0.246431704531979	0.334695822719891
49	467.31883	0.0197598500810869	0.023379394270185	0.240938092603873	0.327244396396603
50	470.66063987774	0.0197363140657334	0.0235964341053394	0.2363083784093	0.320659537956052
51	474.00262649792	0.0197619375186323	0.0233354298350681	0.232140364689386	0.314858611989854
52	477.34477799098	0.0197380291703031	0.0232378796424503	0.228110970107328	0.308957428356081
53	480.68708248736	0.0197767573830314	0.0234910193802296	0.223290493272538	0.30264173258026
54	484.0295281175	0.0197301897640549	0.0235025821788833	0.217758687617313	0.295029713319077
55	487.37210301184	0.0197890558866841	0.0233480365132481	0.212506627315378	0.28780942185895
56	490.71479530082	0.0197469527738855	0.0235012967058344	0.208227714742021	0.282016880088917
57	494.05759311488	0.0197885209415559	0.0234875054513222	0.20514328099421	0.277657075953804
58	497.40048458446	0.0197381701473623	0.023436700637757	0.203215862928892	0.27501805216102
59	500.74345784	0.0197770880161097	0.023357615591678	0.202590997534615	0.273982789657762
60	504.08650101194	0.0197387188761387	0.0233638708389938	0.202854004957014	0.274431568684613
61	507.42960223072	0.0197826834793395	0.0235422073569321	0.204285189149885	0.276163755619574
62	510.77274962678	0.0197379804913433	0.0234492835755331	0.20689449068064	0.279557000425984
63	514.11593133056	0.0197814731354535	0.0238723070255138	0.210485681528437	0.284476089390245
64	517.4591354725	0.0197375087067292	0.0236844270397515	0.215313613201325	0.29076737823031
65	520.80235018304	0.0197838446208361	0.0236973597993622	0.220905854574307	0.298066832488247
66	524.14556359262	0.0197360989361369	0.0236827673062169	0.226716596261926	0.305686269330574
67	527.48876383168	0.0197836724124729	0.0236353266475401	0.232176221191162	0.312859902668663
68	530.83193903066	0.0197404964433163	0.0235771218104158	0.23694503402517	0.319312010938964
69	534.17507732	0.0197774743072101	0.0232655820754269	0.240507859552696	0.324042726468076
70	537.51816683014	0.019735324783647	0.0232647799639848	0.243182087085122	0.327568147193725
71	540.86119569152	0.0197651292183163	0.0236018168928103	0.245330769807008	0.330424812439921
72	544.20415203458	0.0197402546188063	0.0232086169761616	0.247013426553611	0.332629347732874
73	547.54702398976	0.019791211893517	0.0235447186028964	0.248568162031449	0.334495783807033
74	550.8897996875	0.0197444778239038	0.023503726431441	0.249943578032118	0.336238060307288
75	554.23246725824	0.0197975699937839	0.0234213126665178	0.251092260709673	0.337400547214048
76	557.57501483242	0.0197501226639997	0.0233423707611096	0.251702821268888	0.338081205461449
77	560.91743054048	0.0197856907573011	0.0236102515441206	0.251887882661989	0.338204992342297
78	564.25970251286	0.01974434417486	0.0234431772294273	0.251372952245182	0.337358703278359
79	567.60181888	0.0197891741817908	0.0237522504062711	0.250377575454917	0.33603611408448
80	570.94376777234	0.0197460146134307	0.0236308908578001	0.248760954696628	0.333809623014806
81	574.28553732032	0.0197983209408915	0.0233911026533745	0.246302979397561	0.330406927952391
82	577.62711565438	0.0197266686526286	0.0237273935050938	0.243286650341567	0.32622268617606
83	580.96849090496	0.0197941181495513	0.0234621639666056	0.239798396115505	0.321536500638265
84	584.3096512025	0.0197457091049768	0.0234720467825566	0.235844611444828	0.316049910139344
85	587.65058467744	0.0197749243323082	0.0237306483842993	0.231204935869158	0.309808306765152
86	590.99127946022	0.0197581977880783	0.0235845927060631	0.225802289855639	0.302512436416428
87	594.33172368128	0.0197774120190787	0.0235591930922691	0.219523986745513	0.293874763318366
88	597.67190547106	0.0197620612225123	0.0234514294636631	0.21324446050015	0.285406935246492
89	601.01181296	0.0197957465392714	0.0237514807633226	0.20798713995009	0.278294383373644
90	604.35143427854	0.019763136172589	0.0236666880702746	0.204179218043575	0.273302633010325
91	607.69075755712	0.0197954162551462	0.0236034050560095	0.201445225742383	0.269670627996148
92	611.02977092618	0.0197621718406504	0.0235551690938005	0.199410442653524	0.266912043143848
93	614.36846251616	0.0198052467878796	0.0234408295478636	0.197657782016898	0.264491621757869
94	617.7068204575	0.0197554328580564	0.0236150217942574	0.195993142688825	0.262152026015467
95	621.04483288064	0.0197997469378038	0.0235662399773194	0.194004937248792	0.259414397594142
96	624.38248791602	0.0197661185004027	0.0236100125690251	0.191362568326073	0.255844801668159
97	627.71977369408	0.0198099035672249	0.0234430126176558	0.187703350539718	0.250885129926438
98	631.05667834526	0.0197576515019738	0.0235190431814684	0.183137915554979	0.2447287249922
99	634.39319	0.019795481160426	0.0234376219749042	0.178059826646416	0.237813561370996
